fec.gov
title,Two Year Summary
description,2016 Operating Expenditures
timestamp,Sun Sep 18 19:27:51 GMT 2016
copyright,"Copyright 2012, Federal Election Commission."
cmte_id,C00580100
cmte_nm,DONALD J. TRUMP FOR PRESIDENT, INC.
"Payee Name","Purpose","City","State","Zip","Payment Date","Amount","Memo Code","Report Type","Report Year","Image Number","Transaction Code","Other Id","Candidate Id","Transaction PGI",
"BRIM, BRIAN","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","04/08/2016","$3,914.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007406","","","","P",
"BRIM, BRIAN","TRAVEL: MILEAGE [BRIM: SB23.514234]","NEW YORK","NY","10022","04/08/2016","$3,914.00","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007406","","","","P",
"BRIM, BRIAN","TRAVEL: MILEAGE [BRIM: SB23.514234]","NEW YORK","NY","10022","04/08/2016","$3,914.00","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007406","","","","P",
"BRIM, BRIAN","FIELD CONSULTING","NEW YORK","NY","10022","07/13/2016","$10,000.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700864","","","","P",
"BRIM, BRYAN","PAYROLL","NEW YORK","NY","10022","01/06/2016","$1,107.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575950","","","","P",
"BRIM, BRYAN","PAYROLL","NEW YORK","NY","10022","01/06/2016","$1,500.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575951","","","","P",
"BRIM, BRYAN","PAYROLL","NEW YORK","NY","10022","01/14/2016","$1,500.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575951","","","","P",
"BRIM, BRYAN","PAYROLL","NEW YORK","NY","10022","01/29/2016","$1,500.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575951","","","","P",
"BRINEGAR, SAM","SECURITY SERVICES","FORT WORTH","TX","76102","02/25/2016","$332.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931705","","","","P",
"BROADWAY AT THE BEACH, INC.","FACILITY RENTAL","MYRTLE BEACH","SC","29572","11/19/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280287","","","","P",
"BRODIE, JOSEPH","FIELD CONSULTING","DOVER","DE","19901","05/31/2016","$500.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596694","","","","P",
"BROKAW, SPENCER","FIELD CONSULTING","VANDALIA","OH","45377","03/31/2016","$300.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964981","","","","P",
"BROWN, BRYAN","IN-KIND: RENT AND UTILITIES","RICHARDSON","TX","75081","02/24/2016","$1,000.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931706","","","","P",
"BROWN, JUDITH NANC","FIELD CONSULTING","COLUMBIA","SC","29206","02/28/2016","$3,826.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931706","","","","P",
"BRUCKERHOFF, CHARLES","FIELD CONSULTING","CHAPLIN","CT","06235","05/11/2016","$3,500.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596694","","","","P",
"BRUCKERHOFF, CHARLES","FIELD CONSULTING","CHAPLIN","CT","06235","05/27/2016","$2,000.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596694","","","","P",
"BRUM, BRYAN","PAYROLL","NEW YORK","NY","10022","02/12/2016","$1,500.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931706","","","","P",
"BRUSKY, NICHOLAS","PAYROLL","NEW YORK","NY","10022","02/02/2016","$4,000.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931707","","","","P",
"BRUSKY, NICHOLAS","PAYROLL","NEW YORK","NY","10022","02/12/2016","$2,000.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931707","","","","P",
"BRUSKY, NICHOLAS","PAYROLL","NEW YORK","NY","10022","02/29/2016","$2,000.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931707","","","","P",
"BRUSKY, NICHOLAS","PAYROLL","NEW YORK","NY","10022","03/15/2016","$2,000.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964981","","","","P",
"BRUSKY, NICHOLAS","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","03/24/2016","$2,872.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964981","","","","P",
"BRUSKY, NICHOLAS","PAYROLL","NEW YORK","NY","10022","03/31/2016","$2,000.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964982","","","","P",
"BRUSKY, NICHOLAS","PAYROLL","NEW YORK","NY","10022","04/14/2016","$2,000.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007407","","","","P",
"BRUSKY, NICHOLAS","PAYROLL","NEW YORK","NY","10022","04/28/2016","$2,000.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007407","","","","P",
"BRUSKY, NICHOLAS","PAYROLL","NEW YORK","NY","10022","05/13/2016","$2,000.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596695","","","","P",
"BRUSKY, NICHOLAS","PAYROLL","NEW YORK","NY","10022","05/31/2016","$2,000.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596695","","","","P",
"BRUSKY, NICHOLAS","PAYROLL","NEW YORK","NY","10022","07/14/2016","$2,000.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700864","","","","P",
"BRUSKY, NICHOLAS","PAYROLL","NEW YORK","NY","10022","07/29/2016","$2,000.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700865","","","","P",
"BRUSKY, NICHOLAS","PAYROLL","NEW YORK","NY","10022","06/15/2016","$2,000.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798665","","","","P",
"BRUSKY, NICHOLAS","PAYROLL","NEW YORK","NY","10022","06/30/2016","$2,000.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798665","","","","P",
"BRUSKY, NICK","TRAVEL: MILEAGE [BRUSKY: SB23.455474]","NEW YORK","NY","10022","03/24/2016","$2,872.00","X","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964982","","","","P",
"BRYANT SIGN COMPANY","PRINTING AND DESIGN SERVICES [AMEX: SB23.455063]","CLEVELAND","TN","37311","02/22/2016","$1,143.00","X","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964982","","","","P",
"BRYSON, CORY","PAYROLL","NEW YORK","NY","10022","12/21/2015","$230.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280288","","","","P",
"BRYSON, CORY","PAYROLL","NEW YORK","NY","10022","12/30/2015","$1,250.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280288","","","","P",
"BRYSON, CORY","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","01/05/2016","$327.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575952","","","","P",
"BRYSON, CORY","PAYROLL","NEW YORK","NY","10022","01/14/2016","$1,250.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575952","","","","P",
"BRYSON, CORY","PAYROLL","NEW YORK","NY","10022","01/29/2016","$1,250.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575952","","","","P",
"BRYSON, CORY","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","01/30/2016","$200.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575953","","","","P",
"BRYSON, CORY","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","01/31/2016","$458.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575953","","","","P",
"BRYSON, CORY","PAYROLL","NEW YORK","NY","10022","02/12/2016","$1,250.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931708","","","","P",
"BRYSON, CORY","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","02/24/2016","$30.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931708","","","","P",
"BRYSON, CORY","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","02/24/2016","$947.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931708","","","","P",
"BRYSON, CORY","TRAVEL: MILEAGE [BRYSON: SB23.362881]","NEW YORK","NY","10022","02/24/2016","$903.00","X","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931709","","","","P",
"BRYSON, CORY","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","02/29/2016","$426.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931709","","","","P",
"BRYSON, CORY","PAYROLL","NEW YORK","NY","10022","02/29/2016","$1,250.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931709","","","","P",
"BRYSON, CORY","TRAVEL: MILEAGE [BRYSON: SB23.362882]","NEW YORK","NY","10022","02/29/2016","$426.00","X","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931710","","","","P",
"BRYSON, CORY","PAYROLL","NEW YORK","NY","10022","03/15/2016","$1,250.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964983","","","","P",
"BRYSON, CORY","PAYROLL","NEW YORK","NY","10022","04/14/2016","$230.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007407","","","","P",
"BRYSON, CORY","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","04/18/2016","$11.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007408","","","","P",
"BRYSON, CORY STEVEN","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","03/24/2016","$2,283.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964983","","","","P",
"BRYSON, CORY STEVEN","TRAVEL: MILEAGE [BRYSON: SB23.455476]","NEW YORK","NY","10022","03/24/2016","$1,990.00","X","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964983","","","","P",
"BRYSON, CORY STEVEN","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","03/29/2016","$99.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964984","","","","P",
"BRYSON, CORY STEVEN","PAYROLL","NEW YORK","NY","10022","03/31/2016","$1,250.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964984","","","","P",
"BTJ STRATEGIES, LLC","BALLOT ACCESS CONSULTING","PEACHTREE","GA","30269","06/03/2016","$16,400.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798666","","","","P",
"BUFFALO MARRIOTT","TRAVEL: LODGING [AMEX: SB23.599732]","BUFFALO","NY","14203","04/20/2016","$499.00","X","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596696","","","","P",
"BUFFALO WILD WINGS","TRAVEL: FOOD [TISO: SB23.249360]","CONCORD","NH","03301","12/14/2015","$73.00","X","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280289","","","","P",
"BURESH PARTY & SPECIAL EVENTS","EVENT STAGING EXPENSE","CEDAR  RAPIDS","IA","52402","01/08/2016","$6,042.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575953","","","","P",
"BURGER HEAVEN","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","NEW YORK","NY","10065","09/08/2015","$72.00","X","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280290","","","","P",
"BURGER HEAVEN","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","NEW YORK","NY","10065","09/11/2015","$15.00","X","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280290","","","","P",
"BURGER HEAVEN","MEETING EXPENSE: MEALS [AMEX: SB23.248389]","NEW YORK","NY","10065","09/22/2015","$18.00","X","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280290","","","","P",
"BURGER U","TRAVEL: MEALS [LOCETTA: SB23.455516]","ORLANDO","FL","32816","03/05/2016","$457.00","X","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964984","","","","P",
"BURKE, RICHARD P","FIELD CONSULTING","TIGARD","OR","97223","05/10/2016","$3,466.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596696","","","","P",
"BURKE, RICHARD P","FIELD CONSULTING","TIGARD","OR","97223","05/19/2016","$2,580.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596697","","","","P",
"BURKE, RICHARD P","IN-KIND: BROADBAND SERVICES","TIGARD","OR","97223","06/24/2016","$305.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798666","","","","P",
"BURNS, ROY","SECURITY SERVICES","GREEN VALLEY","CA","91390","07/14/2015","$240.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291127","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","12/15/2015","$1,615.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280291","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","12/30/2015","$2,500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280291","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","01/14/2016","$2,500.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575954","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","01/29/2016","$2,500.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575954","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","02/12/2016","$2,500.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931710","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","02/29/2016","$2,500.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931710","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","03/15/2016","$2,500.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964985","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","03/31/2016","$2,500.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964985","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","04/14/2016","$2,500.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007408","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","04/28/2016","$2,500.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007408","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","05/13/2016","$2,500.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596697","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","05/31/2016","$2,500.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596697","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","07/14/2016","$2,500.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700865","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","07/29/2016","$2,500.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700865","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","06/15/2016","$2,500.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798667","","","","P",
"BURR, MADELINE","PAYROLL","NEW YORK","NY","10022","06/30/2016","$2,500.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798667","","","","P",
"BUTTON AND SOUND INC.","AUDIO VISUAL SERVICES","NEW YORK","NY","10036","02/28/2016","$3,500.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931711","","","","P",
"BW CANAL WINCHESTER INN","TRAVEL: LODGING [AMEX: SB23.513914]","CANAL WINCHESTER","OH","43110","03/04/2016","$253.00","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007409","","","","P",
"BW CANAL WINCHESTER INN","TRAVEL: LODGING [AMEX: SB23.513914]","CANAL WINCHESTER","OH","43110","03/04/2016","$253.00","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007409","","","","P",
"BW CANAL WINCHESTER INN","TRAVEL: LODGING [AMEX: SB23.513914]","CANAL WINCHESTER","OH","43110","03/04/2016","$253.00","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007409","","","","P",
"BW CANAL WINCHESTER INN","TRAVEL: LODGING [AMEX: SB23.513914]","CANAL WINCHESTER","OH","43110","03/04/2016","$1,569.00","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007410","","","","P",
"BW CANAL WINCHESTER INN","REFUND: TRAVEL: LODGING [AMEX: SB23.513914]","CANAL WINCHESTER","OH","43110","03/05/2016","($1,315.00)","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007410","","","","P",
"BW CANAL WINCHESTER INN","REFUND: TRAVEL: LODGING [AMEX: SB23.513914]","CANAL WINCHESTER","OH","43110","03/05/2016","($1,315.00)","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007410","","","","P",
"BW CANAL WINCHESTER INN","REFUND: TRAVEL: LODGING [AMEX: SB23.513914]","CANAL WINCHESTER","OH","43110","03/05/2016","($1,315.00)","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007411","","","","P",
"BW CANAL WINCHESTER INN","TRAVEL: LODGING [AMEX: SB23.513914]","CANAL WINCHESTER","OH","43110","03/05/2016","$1,315.00","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007411","","","","P",
"BW CANAL WINCHESTER INN","TRAVEL: LODGING [AMEX: SB23.513914]","CANAL WINCHESTER","OH","43110","03/05/2016","$1,315.00","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007411","","","","P",
"BW CANAL WINCHESTER INN","TRAVEL: LODGING [AMEX: SB23.513914]","CANAL WINCHESTER","OH","43110","03/05/2016","$1,315.00","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007412","","","","P",
"BW CANAL WINCHESTER INN","TRAVEL: LODGING [AMEX: SB23.513914]","CANAL WINCHESTER","OH","43110","03/05/2016","$1,510.00","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007412","","","","P",
"BW CANAL WINCHESTER INN","REFUND: TRAVEL: LODGING [AMEX: SB23.513914]","CANAL WINCHESTER","OH","43110","03/06/2016","($1,233.00)","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007412","","","","P",
"BW CANAL WINCHESTER INN","REFUND: TRAVEL: LODGING [AMEX: SB23.513914]","CANAL WINCHESTER","OH","43110","03/06/2016","($1,163.00)","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007413","","","","P",
"BWI AIRPORT MARRIOT","TRAVEL: LODGING [AMEX: SB23.6877]","LINTHICUM HEIGHTS","MD","21030","07/31/2015","$315.00","X","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291127","","","","P",
"BWI AIRPORT MARRIOT","TRAVEL: LODGING [AMEX: SB23.6877]","LINTHICUM HEIGHTS","MD","21030","07/31/2015","$380.00","X","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291128","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","12/21/2015","$1,500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280291","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","12/30/2015","$1,500.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280292","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","01/14/2016","$1,500.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575954","","","","P",
"BYERS, ASHLEY","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","01/28/2016","$212.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575955","","","","P",
"BYERS, ASHLEY","TRAVEL: MILEAGE [BYERS: SB23.289534]","NEW YORK","NY","10022","01/28/2016","$212.00","X","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575955","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","01/29/2016","$1,500.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575955","","","","P",
"BYERS, ASHLEY","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","01/31/2016","$578.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575956","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","02/12/2016","$1,500.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931711","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","02/29/2016","$1,500.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931711","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","03/15/2016","$1,500.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964985","","","","P",
"BYERS, ASHLEY","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","03/18/2016","$561.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964986","","","","P",
"BYERS, ASHLEY","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","03/24/2016","$423.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964986","","","","P",
"BYERS, ASHLEY","TRAVEL: MILEAGE [BYERS: SB23.455480]","NEW YORK","NY","10022","03/24/2016","$423.00","X","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964986","","","","P",
"BYERS, ASHLEY","TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED","NEW YORK","NY","10022","03/29/2016","$1,151.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964987","","","","P",
"BYERS, ASHLEY","TRAVEL: MILEAGE [BYERS: SB23.455481]","NEW YORK","NY","10022","03/29/2016","$562.00","X","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964987","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","03/31/2016","$1,500.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964987","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","04/14/2016","$1,500.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007413","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","04/28/2016","$1,500.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007413","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","05/13/2016","$1,500.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596698","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","05/31/2016","$1,500.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596698","","","","P",
"BYERS, ASHLEY","IN-KIND: POSTAGE","NEW YORK","NY","10022","05/31/2016","$237.00","","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596698","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","07/14/2016","$1,500.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700866","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","07/29/2016","$1,500.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700866","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","06/15/2016","$1,500.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798667","","","","P",
"BYERS, ASHLEY","PAYROLL","NEW YORK","NY","10022","06/30/2016","$1,500.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798668","","","","P",
"BYLITES, INC.","AUDIO VISUAL SERVICES","LITTLE ROCK","AR","72202","02/01/2016","$11,527.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931712","","","","P",
"BYLITES, INC.","AUDIO VISUAL SERVICES","LITTLE ROCK","AR","72202","02/16/2016","$11,527.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931712","","","","P",
"BYRD, CHARLICE","PAYROLL","NEW YORK","NY","10022","12/16/2015","$1,250.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280292","","","","P",
"BYRD, CHARLICE","PAYROLL","NEW YORK","NY","10022","12/30/2015","$1,250.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280292","","","","P",
"BYRD, CHARLICE","PAYROLL","NEW YORK","NY","10022","01/14/2016","$1,250.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575956","","","","P",
"BYRD, CHARLICE","PAYROLL","NEW YORK","NY","10022","01/21/2016","$1,250.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575956","","","","P",
"BYRD, CHARLICE","PAYROLL","NEW YORK","NY","10022","01/29/2016","$1,250.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575957","","","","P",
"BYRD, CHARLICE","PAYROLL","NEW YORK","NY","10022","02/12/2016","$1,250.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931712","","","","P",
"BYRD, CHARLICE","PAYROLL","NEW YORK","NY","10022","02/29/2016","$1,250.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931713","","","","P",
"BYRD, CHARLICE","PAYROLL","NEW YORK","NY","10022","03/15/2016","$1,250.00","","M4","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201604209014964988","","","","P",
